path;extra.metadata.source;extra.metadata.cwe.0;extra.metadata.owasp.0;extra.metadata.references.0;extra.metadata.vulnerability_class.0
cli/src/main/java/hudson/cli/CLI.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
cli/src/main/java/hudson/cli/CLI.java;https://semgrep.dev/r/java.lang.security.audit.weak-ssl-context.weak-ssl-context;CWE-326: Inadequate Encryption Strength;A03:2017 - Sensitive Data Exposure;https://tools.ietf.org/html/rfc7568;Cryptographic Issues
cli/src/main/java/hudson/cli/CLI.java;https://semgrep.dev/r/java.lang.security.audit.weak-ssl-context.weak-ssl-context;CWE-326: Inadequate Encryption Strength;A03:2017 - Sensitive Data Exposure;https://tools.ietf.org/html/rfc7568;Cryptographic Issues
cli/src/main/java/hudson/cli/CLI.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
cli/src/main/java/hudson/cli/DiagnosedStreamCorruptionException.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/Main.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/Proc.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/TcpSlaveAgentListener.java;https://semgrep.dev/r/java.lang.security.audit.crypto.unencrypted-socket.unencrypted-socket;CWE-319: Cleartext Transmission of Sensitive Information;A03:2017 - Sensitive Data Exposure;https://owasp.org/Top10/A02_2021-Cryptographic_Failures;Mishandled Sensitive Information
core/src/main/java/hudson/Util.java;https://semgrep.dev/r/java.lang.security.audit.crypto.use-of-md5.use-of-md5;CWE-328: Use of Weak Hash;A03:2017 - Sensitive Data Exposure;https://owasp.org/Top10/A02_2021-Cryptographic_Failures;Insecure Hashing Algorithm
core/src/main/java/hudson/Util.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/Util.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/cli/CLICommand.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/cli/declarative/CLIRegisterer.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
core/src/main/java/hudson/lifecycle/WindowsInstallerLink.java;https://semgrep.dev/r/java.lang.security.audit.active-debug-code-printstacktrace.active-debug-code-printstacktrace;CWE-489: Active Debug Code;A10:2004 - Insecure Configuration Management;https://cwe.mitre.org/data/definitions/489.html;Active Debug Code
